Ticker,Nome,Tipo,Setor,Preço,Target Price,Upside,Score,Rating,ROE,ROIC,Margem EBITDA,Dív. Líq./EBITDA,P/L,EV/EBITDA,Div. Yield,Cresc. Receita,Vol. Médio,Ret. 3m,Ret. 6m,Score Macro,Score Qualidade,Score Valuation,Score Momentum,Score Governança,Método Val.,NIM,Cost/Income,CET1 Proxy,NPL Proxy,P/BV,Cresc. Carteira,PDD/Lucro,Fonte CET1,Fonte NPL,Dados Ref.,Dados Fonte,P/VP,Spread CDI,Consist. Div.,Tipo FII
JHSF3,JHSF PART   ON      NM,Ação,outros,10.64,14.44,0.3576,73.3,Promissor,0.27879998,0.12494411704665102,0.7725565671076374,0.8171449576127097,3.3670886,4.973,0.078008,0.21577332275029826,5463450.0,0.2165899667753146,0.37098828125240013,50.0,87.0,69.2,95,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
TSMC34,TAIWANSMFAC DRN ED,BDR,BDR Tech (EUA),302.72,322.82,0.0664,67.2,Neutro,0.3621,0.34991931189438524,0.7198956181853328,-0.6211517979783171,40.14854,3.611,0.007102,0.18937972542772896,79998.75,0.37911014670772225,0.5663531679852212,48.5,95.0,58.8,75,60.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
POMO4,MARCOPOLO   PN      N2,Ação,outros,5.99,11.78,0.9666,67.2,Promissor,0.30911,0.17705564641446664,0.21164591123337131,0.8035663145353165,5.99,5.918,0.170284,0.18700953362713113,7282340.0,0.023117250024922376,0.009651208930882671,50.0,77.0,76.0,60,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
FIQE3,UNIFIQUE    ON      NM,Ação,outros,5.7,6.52,0.1443,66.2,Promissor,0.18761998,0.13181658712991137,0.5409133082541878,0.8269535440732516,9.193548,4.898,0.149123,0.20449434664982835,575760.0,0.03636360168457031,0.2562617001776184,50.0,87.0,58.8,65,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
JALL3,JALLESMACHADON      NM,Ação,outros,2.21,,,64.8,Neutro,0.0047299997,0.054047175435981504,0.5952698798200616,2.378663895930697,14.733333,4.754,,0.17285926601702162,1239570.0,-0.2916666284585596,-0.2657807158973311,50.0,67.0,100.0,20,100.0,N/A,,,,,,,,,,,,,,,
PLPL3,PLANOEPLANO ON      NM,Ação,outros,8.3,13.9,0.6751,63.8,Neutro,0.37973,0.3249303606024444,0.18721537297510107,0.040909135299306953,4.9700603,4.462,0.180723,0.30044035364213917,4599335.0,-0.41009236881589295,-0.47464434499870667,50.0,87.0,76.0,20,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
BRAV3,BRAVA       ON      NM,Ação,outros,18.99,24.67,0.2991,63.8,Neutro,0.020599999,0.04654580370086363,0.5140510734285176,3.3137692556300107,38.7551,5.507,0.006319,0.8896996349927864,7519070.0,0.02498714162822191,0.3915339212135418,50.0,61.0,69.2,75,100.0,Mult(100%),,,,,,,,,,,,,,,
AMBP3,AMBIPAR     ON      NM,Ação,outros,0.18,,,63.2,Neutro,-0.01345,0.09059118258595764,0.27815608396807073,3.7587201366813847,0.14400001,5.775,,0.4958180000517536,4759760.0,-0.21739128744669833,-0.4374999650754027,50.0,61.0,100.0,20,100.0,N/A,,,,,,,,,,,,,,,
OPCT3,OCEANPACT   ON      NM,Ação,outros,9.94,11.67,0.1744,62.8,Neutro,0.12485,0.08381924234602905,0.34242100325364105,1.904869043024615,16.29508,5.324,0.01006,0.21120230449777866,665890.0,0.12466181683439737,0.27148080310522604,50.0,73.0,53.0,75,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
CVCB3,CVC BRASIL  ON      NM,Ação,outros,1.22,3.39,1.7772,62.8,Neutro,-0.22981001,0.23118288366527415,0.3717551913243798,0.31877546963522513,8.413794,3.338,,0.06808672341442246,11746550.0,-0.37435897498597914,-0.39603958409412865,50.0,77.0,76.0,30,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
ISAE4,ISA ENERGIA PN      N1,Ação,outros,27.65,58.4,1.1123,62.5,Neutro,0.11273,0.06722095400817489,0.43935445529362877,3.5433814481458983,7.766854,9.233,0.095479,0.19968428736683408,2631310.0,-0.010517079623456826,0.03781855518301369,50.0,61.0,76.0,55,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
SEER3,SER EDUCA   ON      NM,Ação,outros,11.15,14.14,0.2678,62.2,Neutro,0.18484,0.12554908142898516,0.29187771341794905,1.857633285725768,1.5315933,4.155,0.043049,0.09758199661424083,737385.0,0.11458987353018957,0.15007916640763153,50.0,68.0,60.8,67,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
ENJU3,ENJOEI      ON      NM,Ação,outros,0.97,1.5,0.5464,62.2,Neutro,-0.05757,-0.21176988570095634,0.13934097073843402,-5.477828226530002,-8.818182,-0.441,0.206186,0.23864382759914693,583310.0,-0.03960392300071269,-0.06730763058690403,50.0,60.0,82.9,43,100.0,DCF(100%),,,,,,,,,,,,,,,
PETR4,PETROBRAS   PN      N2,Ação,Petróleo & Gás,38.8,103.73,1.6735,61.2,Neutro,0.25601,0.13190780994621526,0.5161500084085431,1.3754289934402015,4.7724476,4.056,0.100515,-0.0944731500253071,46166135.0,-0.12757858574605752,0.26915181763880214,44.7,58.0,76.0,70,75.0,Mult(100%),,,,,,,,,,,,,,,
PETR3,PETROBRAS   ON      N2,Ação,Petróleo & Gás,43.34,96.39,1.224,61.2,Neutro,0.25601,0.13190780994621526,0.5161500084085431,1.3754289934402015,5.3308735,4.343,0.089986,-0.0944731500253071,11384625.0,-0.11109399400997089,0.33456166860954384,44.7,58.0,76.0,70,75.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
